"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS000481(PRSWEB_PHECODE174.1_C50_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,111,495",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000481/ScoringFiles/PGS000481.txt.gz
PGS000482(PRSWEB_PHECODE174.1_C50_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",42,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000482/ScoringFiles/PGS000482.txt.gz
PGS000483(PRSWEB_PHECODE174.1_C50_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","4,047",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000483/ScoringFiles/PGS000483.txt.gz
PGS000484(PRSWEB_PHECODE174.1_D05_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",25,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000484/ScoringFiles/PGS000484.txt.gz
PGS000485(PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",62,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000485/ScoringFiles/PGS000485.txt.gz
PGS000486(PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",86,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000486/ScoringFiles/PGS000486.txt.gz
PGS000487(PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",62,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000487/ScoringFiles/PGS000487.txt.gz
PGS000488(PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",79,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000488/ScoringFiles/PGS000488.txt.gz
PGS000489(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",49,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000489/ScoringFiles/PGS000489.txt.gz
PGS000490(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",49,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000490/ScoringFiles/PGS000490.txt.gz
PGS000491(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,119,140",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000491/ScoringFiles/PGS000491.txt.gz
PGS000492(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,120,410",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000492/ScoringFiles/PGS000492.txt.gz
PGS000493(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",217,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000493/ScoringFiles/PGS000493.txt.gz
PGS000494(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",49,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000494/ScoringFiles/PGS000494.txt.gz
PGS000495(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","18,866",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000495/ScoringFiles/PGS000495.txt.gz
PGS000496(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","41,744",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000496/ScoringFiles/PGS000496.txt.gz
PGS000497(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",257,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000497/ScoringFiles/PGS000497.txt.gz
PGS000498(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",257,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000498/ScoringFiles/PGS000498.txt.gz
PGS000499(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,119,140",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000499/ScoringFiles/PGS000499.txt.gz
PGS000500(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,120,410",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000500/ScoringFiles/PGS000500.txt.gz
PGS000501(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,142",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000501/ScoringFiles/PGS000501.txt.gz
PGS000502(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",747,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000502/ScoringFiles/PGS000502.txt.gz
PGS000503(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","61,635",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000503/ScoringFiles/PGS000503.txt.gz
PGS000504(PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","148,560",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000504/ScoringFiles/PGS000504.txt.gz
PGS000505(PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",334,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000505/ScoringFiles/PGS000505.txt.gz
PGS000506(PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",334,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000506/ScoringFiles/PGS000506.txt.gz
PGS000507(PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,119,140",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000507/ScoringFiles/PGS000507.txt.gz
PGS000508(PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,120,410",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000508/ScoringFiles/PGS000508.txt.gz
PGS000509(PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","3,038",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000509/ScoringFiles/PGS000509.txt.gz
PGS000510(PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,682",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000510/ScoringFiles/PGS000510.txt.gz
PGS000511(PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","118,388",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000511/ScoringFiles/PGS000511.txt.gz
PGS000512(PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","286,144",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000512/ScoringFiles/PGS000512.txt.gz
PGS000513(PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",41,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000513/ScoringFiles/PGS000513.txt.gz
PGS000514(PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,119,237",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000514/ScoringFiles/PGS000514.txt.gz
PGS000515(PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",84,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000515/ScoringFiles/PGS000515.txt.gz
PGS000516(PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","6,977",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000516/ScoringFiles/PGS000516.txt.gz
PGS000517(PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",10,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000517/ScoringFiles/PGS000517.txt.gz
PGS000518(PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",10,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000518/ScoringFiles/PGS000518.txt.gz
PGS000519(PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,115,376",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000519/ScoringFiles/PGS000519.txt.gz
PGS000520(PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,116,435",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000520/ScoringFiles/PGS000520.txt.gz
PGS000521(PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",9,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000521/ScoringFiles/PGS000521.txt.gz
PGS000522(PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",14,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000522/ScoringFiles/PGS000522.txt.gz
PGS000523(PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",270,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000523/ScoringFiles/PGS000523.txt.gz
PGS000524(PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","2,708",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000524/ScoringFiles/PGS000524.txt.gz
PGS000525(PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",86,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000525/ScoringFiles/PGS000525.txt.gz
PGS000526(PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",86,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000526/ScoringFiles/PGS000526.txt.gz
PGS000527(PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,115,436",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000527/ScoringFiles/PGS000527.txt.gz
PGS000528(PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,116,495",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000528/ScoringFiles/PGS000528.txt.gz
PGS000529(PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",310,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000529/ScoringFiles/PGS000529.txt.gz
PGS000530(PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",174,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000530/ScoringFiles/PGS000530.txt.gz
PGS000531(PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","98,026",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000531/ScoringFiles/PGS000531.txt.gz
PGS000532(PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","12,277",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000532/ScoringFiles/PGS000532.txt.gz
PGS000533(PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",110,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000533/ScoringFiles/PGS000533.txt.gz
PGS000534(PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",110,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000534/ScoringFiles/PGS000534.txt.gz
PGS000535(PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,115,484",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000535/ScoringFiles/PGS000535.txt.gz
PGS000536(PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","1,116,546",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000536/ScoringFiles/PGS000536.txt.gz
PGS000537(PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",363,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000537/ScoringFiles/PGS000537.txt.gz
PGS000538(PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma",85,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000538/ScoringFiles/PGS000538.txt.gz
PGS000539(PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_LASSOSUM_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","18,356",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000539/ScoringFiles/PGS000539.txt.gz
PGS000540(PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Breast cancer (female)","breast carcinoma","7,118",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000540/ScoringFiles/PGS000540.txt.gz
PGS000541(PRSWEB_PHECODE182_GWAS-Catalog-r2019-05-03-X182_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of uterus","uterine cancer",18,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000541/ScoringFiles/PGS000541.txt.gz
PGS000542(PRSWEB_PHECODE182_GWAS-Catalog-r2019-05-03-X182_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of uterus","uterine cancer",20,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000542/ScoringFiles/PGS000542.txt.gz
PGS000543(PRSWEB_PHECODE184_C3-FEMALE-GENITAL_PT_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Cancer of other female genital organs","female reproductive system neoplasm",8,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000543/ScoringFiles/PGS000543.txt.gz
PGS000544(PRSWEB_PHECODE184.11_GWAS-Catalog-r2019-05-03-X184.11_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",21,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000544/ScoringFiles/PGS000544.txt.gz
PGS000545(PRSWEB_PHECODE184.11_GWAS-Catalog-r2019-05-03-X184.11_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",21,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000545/ScoringFiles/PGS000545.txt.gz
PGS000546(PRSWEB_PHECODE184.11_Phelan-ENOC_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","1,115,189",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000546/ScoringFiles/PGS000546.txt.gz
PGS000547(PRSWEB_PHECODE184.11_Phelan-EPOC_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",6,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000547/ScoringFiles/PGS000547.txt.gz
PGS000548(PRSWEB_PHECODE184.11_Phelan-EPOC_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","1,441",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000548/ScoringFiles/PGS000548.txt.gz
PGS000549(PRSWEB_PHECODE184.11_Phelan-IEOC_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",16,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000549/ScoringFiles/PGS000549.txt.gz
PGS000550(PRSWEB_PHECODE184.11_Phelan-IEOC_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","1,115,189",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000550/ScoringFiles/PGS000550.txt.gz
PGS000551(PRSWEB_PHECODE184.11_Phelan-IEOC_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",12,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000551/ScoringFiles/PGS000551.txt.gz
PGS000552(PRSWEB_PHECODE184.11_Phelan-IEOC_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","41,269",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000552/ScoringFiles/PGS000552.txt.gz
PGS000553(PRSWEB_PHECODE184.11_Phelan-LSASBOC_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",10,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000553/ScoringFiles/PGS000553.txt.gz
PGS000554(PRSWEB_PHECODE184.11_Phelan-LSASBOC_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","1,115,189",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000554/ScoringFiles/PGS000554.txt.gz
PGS000555(PRSWEB_PHECODE184.11_Phelan-LSASBOC_PT_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",15,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000555/ScoringFiles/PGS000555.txt.gz
PGS000556(PRSWEB_PHECODE184.11_Phelan-LSASBOC_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","486,841",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000556/ScoringFiles/PGS000556.txt.gz
PGS000557(PRSWEB_PHECODE184.11_Phelan-OCCC_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","1,115,187",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000557/ScoringFiles/PGS000557.txt.gz
PGS000558(PRSWEB_PHECODE184.11_Phelan-OCCC_LASSOSUM_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","1,098,236",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000558/ScoringFiles/PGS000558.txt.gz
PGS000559(PRSWEB_PHECODE184.11_Phelan-SIOC_P_5e-08_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",21,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000559/ScoringFiles/PGS000559.txt.gz
PGS000560(PRSWEB_PHECODE184.11_Phelan-SIOC_P_5e-08_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm",21,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000560/ScoringFiles/PGS000560.txt.gz
PGS000561(PRSWEB_PHECODE184.11_Phelan-SIOC_PRS-CS_MGI_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","1,114,056",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000561/ScoringFiles/PGS000561.txt.gz
PGS000562(PRSWEB_PHECODE184.11_Phelan-SIOC_PRS-CS_UKB_20200608),"PGP000118|Fritsche LG et al. Am J Hum Genet (2020)","Malignant neoplasm of ovary","ovarian neoplasm","1,115,189",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000562/ScoringFiles/PGS000562.txt.gz
